Donor Line

View:   ZDONOR_LINE
Client: 400

                                                                      13.03.2015
---------------------------------------------------------------
|Donor Line|Name                                              |
---------------------------------------------------------------
|0000      |RECOFTC FUND                                      |
|0001      |A07/ASN/222- Review, assess and document the statu|
|0002      |A07/ASN/223- Training of social forestry for ASFN |
|0003      |A07/ASN/224- Training of social forestry champions|
|0004      |A07/ASN/225- Targeted support to social forestry c|
|0005      |A07/ASN/226- Support ASFN Secretariat on communica|
|0006      |A07/ASN/227- Establish ASEAN social forestry and c|
|0007      |A07/ASN/228- Involve ASFN as a key partner in the |
|0008      |A07/ASN/229- Support social forestry/climate chang|
|0009      |A07/ASN/230- Support Malaysia to initiate and cond|
|0010      |A07/ASN/231- Coordinate and provide support to com|
|0011      |A07/ASN/232- Support the implementation of a socia|
|0012      |A07/ASN/233- Travel and Per diem                  |
|0013      |A07/ASN/234- Yearly Audit                         |
|0014      |A07/ASN/235- Administrative Support               |
|0015      |A07/ASN/295- Pre-Contract expense                 |
|0016      |A07/ASN/00J- Conduct 4 Regional & 1 National Dialo|
|0017      |A84/FIF/148- Personal services                    |
|0018      |A84/FIF/149- Travel, accommodation, and subsistenc|
|0019      |A84/FIF/150- Incremental operating costs          |
|0020      |A84/FIF/151- Training, workshops and exchange visi|
|0021      |A84/FIF/152- Fieldwork and dissemination          |
|0022      |A84/FIF/153- Capital outlay                       |
|0023      |A84/FIF/154- Monitoring and evaluation            |
|0024      |A84/FIF/155- Administrative overhead (10%)        |
|0025      |B06/FSC/269- Course Customization                 |
|0026      |B06/FSC/270- Material preparation                 |
|0027      |B06/FSC/271- Communications (phone calls, fax, pos|
|0028      |B06/FSC/272- Administrative Cost (13%)            |
|0029      |B06/FSC/273- Bank Charge                          |
|0030      |B06/FSC/274- Course Delivery                      |
|0031      |B06/FSC/275- Back stopping for local training     |
|0032      |B06/FSC/276- Travel                               |
|0033      |B06/FSC/277- Evaluation& Reporting                |
|0034      |B06/FSC/278- Wrap up                              |
|0035      |B14/RNE/322- Establishing legal basis for supporti|
|0036      |B14/RNE/323- National training team development   |
|0037      |B14/RNE/324- Comprehensive capacity building need |
|0038      |B14/RNE/325- Development of network for CF practit|
|0039      |B14/RNE/326- Establishing a national Multi-stakeho|
|0040      |B14/RNE/327- Communication cost                   |
|0041      |B14/RNE/328- Overhead (15%)                       |
|0042      |B18/GRE/531- Personnel - General                  |
|0043      |B18/GRE/532- Consultants - Audit                  |
|0044      |B18/GRE/533- Consultants - General / Objective 1  |
|0045      |B18/GRE/534- Consultants - General / Objective 2  |
|0046      |B18/GRE/535- Consultants - General / Objective 3  |
|0047      |B18/GRE/536- Travel, Transport and Per Diem - Gene|
|0048      |B18/GRE/537- Travel, Transport and Per Diem / Obje|
|0049      |B18/GRE/538- Travel, Transport and Per Diem / Obje|
|0050      |B18/GRE/539- Equipment and Supplies               |
|0051      |B18/GRE/540- Participant Training / Objective 1   |
|0052      |B18/GRE/541- Participant Training / Objective 2   |
|0053      |B18/GRE/542- Other direct costs                   |
|0054      |B18/GRE/543- Miscellaneous                        |
|0055      |B18/GRE/544- Administrative costs                 |
|0056      |B22/MRR/527- Personal                             |
|0057      |B22/MRR/528- Travel                               |
|0058      |B22/MRR/529- Daily subsistence allowance          |
|0059      |B22/MRR/530- Overhead (15%)                       |
|0060      |B32/KFW/00I- Feasibility Study for Preparation of |
|0061      |B34/FMC/548- Direct Labor                         |
|0062      |B34/FMC/549- Travel, Transportation and Per diem  |
|0063      |B34/FMC/550- Overhead (20%)                       |
|0064      |B36/NOG/562- Project Coordinator Salary           |
|0065      |B36/NOG/563- Project Officer Salary               |
|0066      |B36/NOG/564- Project Assistant Salary             |
|0067      |B36/NOG/565- National Coordinator Salary          |
|0068      |B36/NOG/566- Project Management cost              |
|0069      |B36/NOG/567-Inception and planning workshops- proj|
|0070      |B36/NOG/568- Capacity Building Needs Assessment   |
|0071      |B36/NOG/569- Training material development cost, i|
|0072      |B36/NOG/570- Monitoring and evaluation -OP1       |
|0073      |B36/NOG/571- Training of trainers program for part|
