	KTOPL	KSTAR	KSTSN	FUNC_AREA
	1000	1200001	1200001
	1000	1200002	1200002
	1000	1200003	1200003
	1000	1200004	1200004
	1000	1200005	1200005
	1000	1200006	1200006
	1000	1200007	1200007
	1000	4100001	4100001
	1000	4200001	4200001
	1000	4200002	4200002
	1000	4200003	4200003
	1000	4200004	4200004
	1000	4200005	4200005
	1000	4200006	4200006
	1000	4200007	4200007
	1000	4200008	4200008
	1000	4200009	4200009
	1000	4200010	4200010
	1000	4200011	4200011
	1000	4200013	4200013
	1000	4300001	4300001
	1000	4300002	4300002
	1000	4300003	4300003
	1000	4400001	4400001
	1000	4400002	4400002
	1000	4400003	4400003
	1000	4500001	4500001
	1000	4500002	4500002
	1000	4500003	4500003
	1000	4500004	4500004
	1000	4500005	4500005
	1000	4500006	4500006
	1000	4500007	4500007
	1000	4900001	4900001
	1000	4900002	4900002
	1000	4900003	4900003
	1000	4900004	4900004
	1000	4900005	4900005
	1000	5100001	5100001
	1000	5100002	5100002
	1000	5100003	5100003
	1000	5101001	5101001
	1000	5101002	5101002
	1000	5101003	5101003
	1000	5101004	5101004
	1000	5101005	5101005
	1000	5101006	5101006
	1000	5101007	5101007
	1000	5101008	5101008
	1000	5101009	5101009
	1000	5102001	5102001
	1000	5102002	5102002
	1000	5102003	5102003
	1000	5109001	5109001
	1000	5109002	5109002
	1000	5109003	5109003
	1000	5109004	5109004
	1000	5200001	5200001
	1000	5200002	5200002
	1000	5201001	5201001
	1000	5201002	5201002
	1000	5202001	5202001
	1000	5202002	5202002
	1000	5203001	5203001
	1000	5204001	5204001
	1000	5204002	5204002
	1000	5204003	5204003
	1000	5205001	5205001
	1000	5205002	5205002
	1000	5205003	5205003
	1000	5205004	5205004
	1000	5205005	5205005
	1000	5205006	5205006
	1000	5300001	5300001
	1000	5300002	5300002
	1000	5300003	5300003
	1000	5300004	5300004
	1000	5300005	5300005
	1000	5300006	5300006
	1000	5300007	5300007
	1000	5400001	5400001
	1000	5400002	5400002
	1000	5410001	5410001
	1000	5410002	5410002
	1000	5410003	5410003
	1000	5410004	5410004
	1000	5500001	5500001
	1000	5500002	5500002
	1000	5500003	5500003
	1000	5500004	5500004
	1000	5500005	5500005
	1000	5500006	5500006
	1000	5510001	5510001
	1000	5510002	5510002
	1000	5600001	5600001
	1000	5600002	5600002
	1000	5600003	5600003
	1000	5600004	5600004
	1000	5600005	5600005
	1000	5600006	5600006
	1000	5600007	5600007
	1000	5600008	5600008
	1000	5600009	5600009
	1000	5610001	5610001
	1000	5610002	5610002
	1000	5610003	5610003
	1000	5610004	5610004
	1000	5610005	5610005
	1000	5610006	5610006
	1000	5620001	5620001
	1000	5620002	5620002
	1000	5620003	5620003
	1000	5620004	5620004
	1000	5620005	5620005
	1000	5620006	5620006
	1000	5620007	5620007
	1000	5620008	5620008
	1000	5620009	5620009
	1000	5620010	5620010
	1000	5630001	5630001
	1000	5630002	5630002
	1000	5630003	5630003
	1000	5630004	5630004
	1000	5630005	5630005
	1000	5630006	5630006
	1000	5630007	5630007
	1000	5630008	5630008
	1000	5630009	5630009
	1000	5900001	5900001
	1000	5900002	5900002
	1000	5900003	5900003
	1000	5900004	5900004
	1000	5900005	5900005
	1000	5900006	5900006
	1000	5900007	5900007
	1000	6100001	6100001
	1000	6100002	6100002
	1000	6100003	6100003
	1000	6100004	6100004
	1000	6100005	6100005
	1000	6100006	6100006
	1000	6100007	6100007
	1000	6100008	6100008
	1000	6100009	6100009
	1000	6100010	6100010
	1000	6100011	6100011
	1000	6100012	6100012
	CABE	600000	0000600000
	CABE	600010	0000600010
	CABE	600020	0000600020
	CABE	600030	0000600030
	CABE	600031	0000600031
	CABE	600032	0000600032
	CABE	600033	0000600033
	CABE	600060	0000600060
	CABE	600070	0000600070
	CABE	600071	0000600071
	CABE	600072	0000600072
	CABE	600073	0000600073
	CABE	601000	0000601000
	CABE	601010	0000601010
	CABE	601020	0000601020
	CABE	601030	0000601030
	CABE	601031	0000601031
	CABE	601032	0000601032
	CABE	601033	0000601033
	CABE	601060	0000601060
	CABE	601070	0000601070
	CABE	601071	0000601071
	CABE	601072	0000601072
	CABE	601073	0000601073
	CABE	602000	0000602000
	CABE	603000	0000603000
	CABE	603010	0000603010
	CABE	604000	0000604000
	CABE	604060	0000604060
	CABE	604070	0000604070
	CABE	604071	0000604071
	CABE	604072	0000604072
	CABE	604073	0000604073
	CABE	604074	0000604074
	CABE	605000	0000605000
	CABE	608000	0000608000
	CABE	609000	0000609000
	CABE	609010	0000609010
	CABE	609020	0000609020
	CABE	609030	0000609030
	CABE	609031	0000609031
	CABE	609040	0000609040
	CABE	609050	0000609050
	CABE	609060	0000609060
	CABE	609070	0000609070
	CABE	609071	0000609071
	CABE	609080	0000609080
	CABE	609090	0000609090
	CABE	609100	0000609100
	CABE	609110	0000609110
	CABE	609120	0000609120
	CABE	609130	0000609130
	CABE	609131	0000609131
	CABE	609140	0000609140
	CABE	609150	0000609150
