	KOSTL	DATBI	DATAB	KOSAR	WAERS	ABTEI	ANRED	NAME1	NAME2
	1000	31.12.9999	01.01.2010	W	THB
	1100	31.12.9999	01.01.2010	W	THB	CDTS
	1200	31.12.9999	01.01.2010	W	THB	EO
	1300	31.12.9999	01.01.2010	W	THB	Strat Com
	1400	31.12.9999	01.01.2010	W	THB	CS
	1410	31.12.9999	01.01.2010	W	THB	CS
	1420	31.12.9999	01.01.2010	W	THB	CS
	1430	31.12.9999	01.01.2010	W	THB	CS
	1440	31.12.9999	01.01.2010	W	THB	CS
	1450	31.12.9999	01.01.2010	W	THB	CS
	1460	31.12.9999	01.01.2010	W	THB	CS
	1470	31.12.9999	01.01.2010	W	THB	CS
	1500	31.12.9999	01.01.2010	W	THB	PROCO
	2000	31.12.9999	01.01.2010	W	THB	PROCO
	2001	31.12.9999	01.01.2010	W	THB	PROCO
	2002	31.12.9999	01.01.2010	W	THB	PROCO
	2003	31.12.9999	01.01.2010	W	THB	PROCO
	2004	31.12.9999	01.01.2010	W	THB	PROCO
	2005	31.12.9999	01.01.2010	W	THB	PROCO
	2006	31.12.9999	01.01.2010	W	THB	PROCO
	2007	31.12.9999	01.01.2010	W	THB	PROCO
	11P001	31.12.9999	01.01.2010	W	THB	CDTS
	11P002	31.12.9999	01.01.2010	W	THB	CDTS
	15P002	31.12.9999	01.01.2010	W	THB	PROCO
	15P003	31.12.9999	01.01.2010	W	THB	PROCO
