	DONOR	DONOR_NAME	DONOR_GRP
	ADA	USAID Adapt Asia-Pacific	PRJ
	ADB	Asian Development Bank	PRJ
	AIT	AIT-UNEP	PRJ
	ALL	Adaptive Learning and Linkages in CBNRM	PRJ
	APC	Training on FC workshop on strengthening strategic	PRJ
	APF	FAO of the UN (Asia-Pacific Forest)	PRJ
	ASA	Aisia Foundation	PRJ
	ASE	ASEAN-Swiss Partnership on SF & CC (Phase II- 2014	PRJ
	ASF	ASFN: Social Forestry Newtork	PRJ
	ASN	ASEAN: Swiss Partnership on Social Forestry and Cl	PRJ
	ASS	ASFN Secretariat	PRJ
	BBE	BBE	PRJ
	BCI	GMS BCI Thailand Project Capacity Building	PRJ
	BRT	BRT	PRJ
	CCR	CCR	PRJ
	CDK	CDKN	PRJ
	CIF	Center for International Forestry Research [CIFOR]	PRJ
	COD	Thailand National Forum 19-21 Mar'14	PRJ
	DGI	Dutch Ministry of Foreign Affairs	PRJ
	DND	DANIDA	PRJ
	DOH	Forests and climate change in AP - Assessing COP	PRJ
	DUR	Implications of Durban for Climate Change and Fore	PRJ
	EEP	Renewable Energy to the Energy & Environment Partn	PRJ
	EFI	European Forest Institute	PRJ
	ENR	ENRTP Project (EU-funded)	PRJ
	EPS	Ecosystem Services for Poverty Alleviation	PRJ
	ESP	Ecosystem Services for Poverty Alleviation	PRJ
	EUC	SMRLE (EU Funded Project)	PRJ
	EUR	EUR/Forest Govern Learning	PRJ
	EWC	East West Center	PRJ
	FAA	FAO - LOA/RAP/2009/55	PRJ
	FAB	FAO - LOA/RAP/2009/56	PRJ
	FAC	FAO - PR43516	PRJ
	FAD	FAO - LOA/RAP/2013/42	PRJ
	FAO	The Evolution of Devolution	PRJ
	FCH	Ford Foundation-China	PRJ
	FCP	The Contested Commons:From Conflict to Peace,UK/14	PRJ
	FCR	FPP Review of Rights in Commodity Roundtables in S	PRJ
	FFC	Ford Foundation - China	PRJ
	FFF	The Future of Forests and Forestry in South Asia [	PRJ
	FID	Ford Foundation NY-Forest-Dependent Communities in	PRJ
	FIF	Fordinfo (CBTS)	PRJ
	FIS	Ford Foundation - Indonesia	PRJ
	FLE	FLEGT- Supporting Community Forestry Networks and	PRJ
	FLG	FLEGT- Supporting CF Networks and other CSOs (Phas	PRJ
	FMC	Forest Carbon, Markets and Communities (FCMC) by T	PRJ
	FPC	FPIC :- GTZ-REDD Programm Develop Guidebook	PRJ
	FPI	FPIC: UN-REDD Programme Verification and Evaluatio	PRJ
	FPL	Forest People Program: Legal Pluralism Meeting	PRJ
	FPP	Forest People Program: Regional networking on palm	PRJ
	FSC	Forest Stewardship Council	PRJ
	FSG	Train the trainers Project	PRJ
	FTI	FTI: Empowering Communities Through Training on Pa	PRJ
	FVN	Ford Foundation - Vietnam: Support fundraising pro	PRJ
	GES	IGES , Action Learning on Community Forest Carbon	PRJ
	GFG	Ford Foundation Regional : GFG	PRJ
	GIZ	Integrating Climate Change Adaptation into Develop	PRJ
	GLG	Forest Governance Learning Group/iied	PRJ
	GRE	Grassroots Equity and Enhanced Networks in the Mek	PRJ
	GTZ	GTZ	PRJ
	HIM	Community Forestry Women Leaders Capacity Developm	PRJ
	IDC	IDRC/CBNRM	PRJ
	IDR	IDRC	PRJ
	IED	IIED Natural Resources Group	PRJ
	IGS	IGES: Joint Research Agreement 25June2011	PRJ
	INF	Information Network for Forests in Myanmar (w/ For	PRJ
	ING	Empowerment of Local Networks for Ing - TCP	PRJ
	ITT	The International Tropical Timber Organization	PRJ
	JCA	JICA Forum Project	PRJ
	JIA	JICA - RECOFTC Partnership Program - Strengthening	PRJ
	JIB	JICA- Strengthening CF Capacity in Asia / Apr'13-M	PRJ
	JIC	Strengthening Community Forestry Capacity in Asia	PRJ
	KDP	The South Sulawesi Green KDP Project (CARE Indones	PRJ
	KFW	KFW	PRJ
	KNN	Kenan	PRJ
	LEA	Lowering Emissions in Asia's Forests (LEAF) / Winr	PRJ
	LIM	Forests and Climate Change after COP20 (Lima)	PRJ
	LLS	Ford Foundation for LLS Workshops	PRJ
	MFF	 Mangrove For Future Report to IUCN	PRJ
	MFN	StrategicPlanning Process-Regional Model Forest Ne	PRJ
	MGI	Mainstreaming Gender Issues in Forest Policies (FA	PRJ
	MNR	FAO/Managing Natural Resource Training in Indonesi	PRJ
	MRR	Myanmar REDD+ Readiness Assessment (Royal Norwegia	PRJ
