000       |Fixed Cost (Central Operating)                    
001       |Staff Cost (Staff of RECOFTC)                     
002       |Operating Cost (RECOFTC)                          
003       |Capital Cost (RECOFTC)                            
AA0       |ASEAN-Swiss Partnership on Social Forestry and CC 
AA1       |CF Adaptation Roadmap to 2020                     
AA2       |Conflict mediation analysis                       
AA3       |Forest conflict portal                            
AA4       |Advanced Mediation - Networking                   
AA5       |Advanced Mediation Curriculum Development         
AA6       |Landmark Publication                              
AA7       |Study Tour Development                            
AA8       |Institutional Learning                            
AA9       |Conflict in REDD+ Study                           
AB0       |Forinfo: Livelihood Improvement through Generation
AB1       |Adaptation Training Materials -Testing &Developmen
AB2       |Livelihoods and Markets -Training material develop
AB3       |General CBTS Travel                               
AB4       |Forest Stewardship Council (Train the Trainers Pro
AB5       |RNE: Community Forestry Program Support in Myanmar
AB6       |GRE: Grassroots Equity and Enhanced Networks in th
AB7       |Training Course- Free, Prior and Informed Content 
AB8       |Myanmar REDD+ Readiness Assessment (Royal Norwegia
AB9       |Provision of a Training Course on Free, Prior, an
AC0       |Water and Forest Land Titling in Lao PDR          
AC1       |Livelihoods and Markets Analytical Research       
AC2       |Strengthen Regional Networks                      
AC3       |Feasibility Study for Preparation of Financial Coo
AC4       |CF and Water Management                           
AC5       |Forest Carbon, Markets and Communities (FCMC) fund
AC6       |Grassroots Capacity Building for REDD+ in Asia (NO
AC7       |Conducting Reinforcement Training on PFM and REDD-
AC8       |FAD- Multi-country Study on Forest Restoration at 
AC9       |EEP- Renewable Energy to the Energy & Environment 
AD0       |GIZ: Integrating Climate Change Adaptation into De
AD1       |Study tour for Myanmar's relevant stakeholders to 
AD2       |Forest Connect / Networking                       
AD3       |PFCC Development                                  
AD4       |PFCC Events                                       
AD5       |Tenure Reform (RECOFTC contribution)              
AD6       |CBNA updates for 2013-18                          
AD7       |CF demonstration site - regional coordination     
AD8       |PFCC Networking                                   
AD9       |Capac Build Prog to Strengthen CF & Agro-Forestry,
AE0       |WRS- Regional consultation on Forests and Climate
AE1       |Empowering Communities Through Training on Partici
AE2       |ASE: ASEAN-Swiss Partnership on SF & CC (Phase II-
AE3       |CCR: Conflict and Cooperation over REDD+ in Nepal,
AE4       |RCF: A Training of facilitators workshop on streng
AE5       |Representation at Indonesia Events                
AE6       |Support to CF-related working groups in Indonesia 
AE7       |ICP development                                   
AE8       |Support to CCWG - VCP                             
AE9       |VCP Development                                   
AF0       |Multi-country Study on Forest Restoration at Lands
AF1       |TCP Development                                   
AF2       |Strengthening CF Networks and Collaboration - TCP 
AF3       |CF and Climate Change - TCP                       
AF4       |Representation at Cambodia Events                 
AF5       |Support & Strengthen NCFPCC - CCP                 
AF6       |Cambodia Country Program Development              
AF7       |VCP communications strategy                       
AF8       |CF Knowledge Management - TCP                     
AF9       |Governance Training - VCP                         
AG0       |Capacity Building for CF Stakeholders/Follow up CB
AG1       |Support to CF-related groups in Vietnam           
AG2       |Representation at Vietnam events                  
AG3       |Strategic Plan Development                        
AG4       |EO Events Participation                           
AG5       |Fundraising and Donor Stewardship                 
AG6       |BoT meetings (twice a year)                       
AG7       |EC meetings                                       
AG8       |Report dissemination to BoT/Donor                 
AG9       |KU Scholarship Fund                               
AH0       |Partner/Stakeholder Relationship Development      
AH1       |Core Proposal Development                         
AH2       |RECOFTC memberships                               
AH3       |Institutional M&E                                 
AH4       |Sentinel Sites                                    
AH5       |Program Review                                    
AH6       |Marketing                                         
AH7       |Website (Development and Hosting)                 
AH8       |Publications (Production)                         
AH9       |Library                                           
AI0       |CF Case Studies / Stories of Change               
AI1       |Image Bank                                        
AI2       |3rd Forum (plus field trip)                       
AI3       |Media engagement                                  
AI4       |Campaigns/Events                                  
AI5       |Internal IT Systems                               
AI6       |Staff Equipment                                   
AI7       |IT Services: Country Program Support              
AI8       |Intranet Implementation                           
AI9       |Web surveys                                       
AJ0       |E-News and Social Media                           
AJ1       |Publications (Dissemination)                      
AJ2       |Strategic Communications Travel                   
AJ3       |Reflection Portfolio/Completion Report (2008-2013)
AJ4       |Updated accounting software                       
AJ5       |Year-end Fnancial Reports                         
AJ6       |Audit fees and related                            
AJ7       |Payroll outsourcing services                      
AJ8       |Staff development and team building activities (HQ
AJ9       |Repairs and office maintenance                    
AK0       |Financial/accounting support for CPs              
AK1       |MIS development                                   
AK2       |Office events                                     
AK3       |Recruitments                                      
AK4       |Finance Committee Meetings                        
AK5       |Legal advice fees                                 
AK6       |HR support for CPs and policy development         
AK7       |IT Maintenance                                    
AK8       |Landscape Functions and People Course             
AK9       |Grassroots Capacity Building for REDD+ in Asia (NO
AL0       |Thematic Area Development                         
AL1       |Annual Work Planning                              
AL2       |Support to CF-related working groups in Lao PDR   
AL3       |Representation at Lao PDR Events                  
AL4       |Country Program Development/Support               
AL5       |Indicators revision                               
AL6       |PC Meetings                                       
AL7       |Proposal Development                              
AL8       |Support to NCFWGs                                 
AL9       |Program Reporting                                 
AM0       |LCP Development                                   
AM1       |MFF: Community-based Learning Center at PredNai, T
AM2       |Gender/Rights Mainstreaming                       
AM3       |Thailand Burma Boarder Consortium (TBBC)          
