0000|Regional        
1111|Bangkok         
2222|Global          
BHUT|BHUTAN          
CAMB|CAMBODIA        
CHIN|CHINA           
INDI|INDIA           
INDO|INDONESIA       
JPAN|JAPAN           
LAOS|LAOS            
MALY|MALAYSIA        
MEXI|MEXICO          
MMAR|MYANMAR         
MONG|MONGOLIA        
NEPL|NEPAL           
PHIL|PHILIPPINES     
PPNG|PAPUA NEW GUINEA
SAMO|SAMOA           
SOLO|SOLOMON ISLANDS 
SRIL|SRILANKA        
TANZ|TANZANIA        
THAI|THAILAND        
TIML|TIMOR LESTE     
VIET|VIETNAM         
