     |0001110005        |5100000556|    |RE |14.01.2015|31|          38,390.00-|THB  |VX|          |          |          |Airfares/Reymondo+Rejani+Chay Senkhammoungkhoun   |Airfares (3 persons)     |05.03.2015|AOCD01      |ACTA01      |          |    | |     |          | | | |         | 
     |0001110005        |5100000609|    |RE |21.01.2015|31|          28,830.00-|THB  |VX|          |          |          |Airfares/Christian & Linh/Laos/Jan-Feb 2015       |Airfare/Christian&Linh   |05.03.2015|AOCD01      |ACTA01      |          |    | |     |          | | | |         | 
     |0001110006        |5100000583|    |RE |20.01.2015|31|          54,950.00-|THB  |VX|          |          |          |                                                  |                         |03.03.2015|HR001       |ACTA01      |          |    | |     |          | | | |         | 
     |0001110008        |5100000551|    |RE |16.01.2015|31|             842.00-|THB  |VX|          |          |          |                                                  |                         |02.02.2015|HR001       |ACTA01      |          |    | |     |          | | | |         | 
     |0001110008        |5100000620|    |RE |26.01.2015|31|           8,999.00-|THB  |VX|          |          |          |                                                  |                         |02.02.2015|HR001       |ACTA01      |          |    | |     |          | | | |         | 
     |0001110008        |5100000631|    |RE |28.01.2015|31|           2,526.00-|THB  |VX|          |          |          |Travel Insurance to Cambodia trip for 3Person SAP |                         |02.02.2015|ACTA02      |ACTA01      |          |    | |     |          | | | |         | 
     |0001110008        |5100000641|    |RE |29.01.2015|31|          98,158.00-|THB  |VX|          |          |          |                                                  |                         |03.02.2015|ACTA01      |ACTA01      |          |    | |     |          | | | |         | 
     |0001110008        |5100000648|    |RE |21.01.2015|31|           1,684.00-|THB  |VX|          |          |          |Travel Insurance to Honoi trip for 2Person SAP tra|                         |13.02.2015|ACTA02      |ACTA01      |          |    | |     |          | | | |         | 
     |0001110008        |5100000654|    |RE |25.01.2015|31|       2,140,100.58-|THB  |VX|          |          |          |                                                  |                         |09.03.2015|HR001       |ACTA01      |          |    | |     |          | | | |         | 
     |0001110008        |5100000682|    |RE |30.01.2015|31|          39,984.83-|THB  |VX|          |          |          |                                                  |                         |11.02.2015|HR001       |ACTA01      |          |    | |     |          | | | |         | 
     |0001110012        |5100000613|    |RE |26.01.2015|31|          16,000.00-|THB  |VX|          |          |          |Payroll service for Januray 2015/Business Angels  |                         |05.03.2015|ACTA01      |ACTA01      |          |    | |     |          | | | |         | 
