02.07.2015                     Dynamic List Display                            1


	KTOPL	SAKNR	XBILK	SAKAN	BILKT	GVTYP	KTOKS

	1000	1100001	X	1100001			1000
	1000	1100002	X	1100002			1000
	1000	1100003	X	1100003			1000
	1000	1100004	X	1100004			1000
	1000	1100005	X	1100005			1000
	1000	1101001	X	1101001			1000
	1000	1101002	X	1101002			1000
	1000	1101003	X	1101003			1000
	1000	1101004	X	1101004			1000
	1000	1101005	X	1101005			1000
	1000	1101006	X	1101006			1000
	1000	1101007	X	1101007			1000
	1000	1101008	X	1101008			1000
	1000	1102001	X	1102001			1000
	1000	1102002	X	1102002			1000
	1000	1102003	X	1102003			1000
	1000	1102004	X	1102004			1000
	1000	1103001	X	1103001			1000
	1000	1104001	X	1104001			1000
	1000	1105001	X	1105001			1000
	1000	1105002	X	1105002			1000
	1000	1105003	X	1105003			1000
	1000	1105004	X	1105004			1000
	1000	1105005	X	1105005			1000
	1000	1105006	X	1105006			1000
	1000	1106001	X	1106001			1000
	1000	1107001	X	1107001			1000
	1000	1110001	X	1110001			1000
	1000	1110002	X	1110002			1000
	1000	1110003	X	1110003			1000
	1000	1110004	X	1110004			1000
	1000	1110005	X	1110005			1000
	1000	1110006	X	1110006			1000
	1000	1110007	X	1110007			1000
	1000	1110008	X	1110008			1000
	1000	1110009	X	1110009			1000
	1000	1110010	X	1110010			1000
	1000	1110011	X	1110011			1000
	1000	1110012	X	1110012			1000
	1000	1110013	X	1110013			1000
	1000	1110014	X	1110014			1000
	1000	1110015	X	1110015			1000
	1000	1110016	X	1110016			1000
	1000	1110017	X	1110017			1000
	1000	1110018	X	1110018			1000
	1000	1110019	X	1110019			1000
	1000	1110020	X	1110020			1000
	1000	1110021	X	1110021			1000
	1000	1110022	X	1110022			1000
	1000	1110023	X	1110023			1000
	1000	1110024	X	1110024			1000
	1000	1110025	X	1110025			1000
	1000	1110026	X	1110026			1000
	1000	1110027	X	1110027			1000
	1000	1110028	X	1110028			1000
	1000	1110029	X	1110029			1000
	1000	1110030	X	1110030			1000
	1000	1110999	X	1110999			1000
	1000	1120001	X	1120001			1000
	1000	1120002	X	1120002			1000
	1000	1120003	X	1120003			1000
	1000	1120004	X	1120004			1000
	1000	1120005	X	1120005			1000
	1000	1120006	X	1120006			1000
	1000	1120007	X	1120007			1000
	1000	1120008	X	1120008			1000
	1000	1120009	X	1120009			1000
	1000	1120010	X	1120010			1000
	1000	1120011	X	1120011			1000
	1000	1120012	X	1120012			1000
	1000	1120013	X	1120013			1000
	1000	1120014	X	1120014			1000
	1000	1120015	X	1120015			1000
	1000	1120016	X	1120016			1000
