02.07.2015                     Dynamic List Display                            1


	KTOPL	KSTAR	KTEXT	LTEXT

	CABE	600000	Einkauf Rohstoffe	Einkauf Rohstoffe
	CABE	600010	Einkauf Verpackung	Einkauf Verpackungsmaterial
	CABE	600020	Einkauf Frachtkosten	Einkauf Frachtkosten Verpackungsmaterial
	CABE	600030	Einkauf PrDiff. VP	Einkauf Preisdifferenz Verpackungsmat.
	CABE	600031	Abgrenzung Mat.-Led.	Abgrenzungskonto Mat.-Ledger Verpackung
	CABE	600032	Einkauf PrDiff. VP	Einkauf Preisdifferenz Verpackungsmat.
	CABE	600033	Rü. Eink.PrDiff. VP.	Rück. Einkauf Preisdiff. Verpackungsmat.
	CABE	600060	Einkauf Fracht.Roh.	Einkauf Frachtkosten Rohstoffe
	CABE	600070	Einkauf PrDiff. Roh.	Einkauf Preisdifferenz Rohstoffe
	CABE	600071	AbgrKto.ML Rohstoff	Abgrenzungskonto Mat.-Ledger Rohstoffe
	CABE	600072	Aufw.Preisd.a.Vorst.	Aufwand Preisdifferenzen a. Vorstufen
	CABE	600073	Rück. PrDiff. Rohst.	Rück. Einkauf Preisdifferenz Rohstoffe
	CABE	601000	Einkauf Verbrauchs.	Einkauf Verbrauchsgüter
	CABE	601010	Einkauf Ersatzteile	Einkauf Ersatzteile
	CABE	601020	Eink. FrKost.Ersatz.	Einkauf Frachtkosten Ersatzteile
	CABE	601030	Eink. PrDiff. Ersatz	Einkauf Preisdifferenz Ersatzteile
	CABE	601031	AbgrKto.ML Rohstoff	Abgrenzungskonto Mat.-Ledger Ersatzteile
	CABE	601032	Eink. PrDiff. Ersatz	Einkauf Preisdifferenz Ersatzteile
	CABE	601033	Rück. PrDiff.Ersatz.	Rück. Einkauf Preisdifferenz Ersatzteile
	CABE	601060	Eink. FrKost.BetrSt.	Einkauf Frachtkosten Betriebsstoffe
	CABE	601070	Eink. PrDiff.BetrSt.	Einkauf Preisdifferenz Betriebsstoffe
	CABE	601071	AbgrKto.ML Rohstoff	AbgrenzKonto Mat.-Ledger Betriebsstoffe
	CABE	601072	Eink. PrDiff.BetrSt.	Einkauf Preisdifferenz Betriebsstoffe
	CABE	601073	Rück.PrDiff. BetrSt.	Rück. Einkauf Preisdiff. Betriebsstoffe
	CABE	602000	Einkauf Service	Einkauf Service, Arbeit und Analyse
	CABE	603000	All. Lohnbearbeitung	Allgemeine Lohnbearbeitung
	CABE	603010	Sonst. Kosten Lohnb.	Sonstige Kosten Lohnbearbeitung
	CABE	604000	Eink. Waren/Weiterv.	Einkauf Waren für Weiterverkauf
	CABE	604060	Eink. FrKost.Handel.	Einkauf Frachtkosten Handelswaren
	CABE	604070	Eink. Prdiff.Handel.	Einkauf Preisdiffeerenz Handelswaren
	CABE	604071	AbgrKto. ML Handels.	AbgrenzKonto Mat.-Ledger Handelswaren
